datetime.timedelta(seconds=2, microseconds=329176)
datetime.timedelta(seconds=3, microseconds=502860)
datetime.timedelta(seconds=4, microseconds=560058)
datetime.timedelta(seconds=5, microseconds=652783)
datetime.timedelta(seconds=6, microseconds=672740)
datetime.timedelta(seconds=7, microseconds=787839)
datetime.timedelta(seconds=8, microseconds=734113)
datetime.timedelta(seconds=9, microseconds=791881)
datetime.timedelta(seconds=10, microseconds=896360)
datetime.timedelta(seconds=12, microseconds=86580)
datetime.timedelta(seconds=13, microseconds=296774)
datetime.timedelta(seconds=14, microseconds=421854)
datetime.timedelta(seconds=15, microseconds=529816)
datetime.timedelta(seconds=16, microseconds=697382)
datetime.timedelta(seconds=17, microseconds=804093)
datetime.timedelta(seconds=19, microseconds=152169)
datetime.timedelta(seconds=20, microseconds=605403)
datetime.timedelta(seconds=23, microseconds=962767)
datetime.timedelta(seconds=27, microseconds=784874)
datetime.timedelta(seconds=55, microseconds=205320)
datetime.timedelta(seconds=71, microseconds=356891)
datetime.timedelta(seconds=79, microseconds=363583)
datetime.timedelta(seconds=82, microseconds=154703)
datetime.timedelta(seconds=83, microseconds=605455)
datetime.timedelta(seconds=85, microseconds=421983)
datetime.timedelta(seconds=87, microseconds=582624)
datetime.timedelta(seconds=88, microseconds=887019)
datetime.timedelta(seconds=89, microseconds=851178)
datetime.timedelta(seconds=91, microseconds=84044)
datetime.timedelta(seconds=92, microseconds=636007)
datetime.timedelta(seconds=93, microseconds=839604)
datetime.timedelta(seconds=94, microseconds=913301)
datetime.timedelta(seconds=96, microseconds=163508)
datetime.timedelta(seconds=97, microseconds=404519)
datetime.timedelta(seconds=98, microseconds=814166)
datetime.timedelta(seconds=100, microseconds=326892)
datetime.timedelta(seconds=101, microseconds=528136)
datetime.timedelta(seconds=102, microseconds=804958)
datetime.timedelta(seconds=103, microseconds=892104)
datetime.timedelta(seconds=105, microseconds=447121)
datetime.timedelta(seconds=115, microseconds=799226)
datetime.timedelta(seconds=128, microseconds=310911)
datetime.timedelta(seconds=135, microseconds=737093)
datetime.timedelta(seconds=141, microseconds=988137)
datetime.timedelta(seconds=147, microseconds=522008)
datetime.timedelta(seconds=153, microseconds=35207)
datetime.timedelta(seconds=158, microseconds=715638)
datetime.timedelta(seconds=163, microseconds=551609)
datetime.timedelta(seconds=167, microseconds=128346)
datetime.timedelta(seconds=169, microseconds=172463)
datetime.timedelta(seconds=171, microseconds=509204)
datetime.timedelta(seconds=174, microseconds=143337)
datetime.timedelta(seconds=176, microseconds=646140)
datetime.timedelta(seconds=179, microseconds=255428)
datetime.timedelta(seconds=180, microseconds=974440)
datetime.timedelta(seconds=182, microseconds=868068)
datetime.timedelta(seconds=184, microseconds=529076)
datetime.timedelta(seconds=186, microseconds=530303)
datetime.timedelta(seconds=189, microseconds=124539)
datetime.timedelta(seconds=191, microseconds=713823)
datetime.timedelta(seconds=193, microseconds=982688)
datetime.timedelta(seconds=195, microseconds=935587)
datetime.timedelta(seconds=198, microseconds=579515)
datetime.timedelta(seconds=200, microseconds=970079)
datetime.timedelta(seconds=216, microseconds=26548)
datetime.timedelta(seconds=247, microseconds=567243)
datetime.timedelta(seconds=255, microseconds=75333)
datetime.timedelta(seconds=262, microseconds=346491)
datetime.timedelta(seconds=268, microseconds=893915)
datetime.timedelta(seconds=273, microseconds=115333)
datetime.timedelta(seconds=276, microseconds=998943)
datetime.timedelta(seconds=281, microseconds=689129)
datetime.timedelta(seconds=286, microseconds=433285)
datetime.timedelta(seconds=287, microseconds=895440)
datetime.timedelta(seconds=290, microseconds=126424)
datetime.timedelta(seconds=292, microseconds=10640)
datetime.timedelta(seconds=294, microseconds=360260)
datetime.timedelta(seconds=296, microseconds=872834)
datetime.timedelta(seconds=299, microseconds=488720)
datetime.timedelta(seconds=301, microseconds=775515)
datetime.timedelta(seconds=304, microseconds=392413)
datetime.timedelta(seconds=307, microseconds=410129)
datetime.timedelta(seconds=309, microseconds=842377)
datetime.timedelta(seconds=314, microseconds=138553)
datetime.timedelta(seconds=318, microseconds=935190)
datetime.timedelta(seconds=323, microseconds=400490)
