col_0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0
col_1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
col_2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
col_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
col_4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
col_5,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0
col_6,0.001,0.005,0.01,0.02,0.001,0.005,0.01,0.02,0.001,0.005,0.01,0.02,0.001,0.005,0.01,0.02,0.001,0.005,0.01,0.02,0.001,0.005,0.01,0.02,0.001,0.005,0.01,0.02,0.001,0.005,0.01,0.02
row_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,129.0,135.0,141.0,147.0,153.0,159.0,165.0,171.0,177.0,183.0,189.0,195.0,201.0,207.0,213.0,219.0,225.0,231.0,237.0,243.0,249.0,0.0,6.0,12.0,18.0,24.0,30.0,36.0,42.0,48.0,54.0,60.0
5,131.0,137.0,143.0,149.0,155.0,161.0,167.0,173.0,179.0,185.0,191.0,197.0,203.0,209.0,215.0,221.0,227.0,233.0,239.0,245.0,251.0,2.0,8.0,14.0,20.0,26.0,32.0,38.0,44.0,50.0,56.0,62.0
6,132.0,138.0,144.0,150.0,156.0,162.0,168.0,174.0,180.0,186.0,192.0,198.0,204.0,210.0,216.0,222.0,228.0,234.0,240.0,246.0,252.0,3.0,9.0,15.0,21.0,27.0,33.0,39.0,45.0,51.0,57.0,63.0
