col_0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0,560.0
col_1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,0.9,0.9,0.9,0.9,0.9,1.4,1.4,1.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
col_2,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,6.0,6.0,10.0,10.0,3.0,6.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0,3.0,3.0,3.0,6.0,6.0,6.0,10.0,10.0,10.0
col_3,1,6,10,1,6,10,1,6,10,1,6,1,6,1,6,1,1,1,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10
row_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,6.0,12.0,18.0,24.0,30.0,36.0,42.0,48.0,15.0,21.0,33.0,39.0,51.0,57.0,30.0,48.0,66.0,54.0,60.0,66.0,72.0,78.0,84.0,90.0,96.0,102.0,69.0,75.0,81.0,87.0,93.0,99.0,105.0,111.0,117.0,84.0,90.0,96.0,102.0,108.0,114.0,120.0,126.0,132.0,108.0,114.0,120.0,126.0,132.0,138.0,144.0,150.0,156.0,123.0,129.0,135.0,141.0,147.0,153.0,159.0,165.0,171.0,138.0,144.0,150.0,156.0,162.0,168.0,174.0,180.0,186.0,162.0,168.0,174.0,180.0,186.0,192.0,198.0,204.0,210.0,177.0,183.0,189.0,195.0,201.0,207.0,213.0,219.0,225.0,192.0,198.0,204.0,210.0,216.0,222.0,228.0,234.0,240.0,216.0,222.0,228.0,234.0,240.0,246.0,252.0,3.0,9.0,231.0,237.0,243.0,249.0,0.0,6.0,12.0,18.0,24.0,246.0,252.0,3.0,9.0,15.0,21.0,27.0,33.0,39.0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,,,133.0,,,151.0,,,130.0,,,148.0,,,166.0,,,,,,163.0,,,181.0,,,169.0,,,187.0,,,205.0,,,184.0,,,202.0,,,220.0,,,199.0,,,217.0,,,235.0,,,223.0,229.0,,241.0,247.0,,4.0,10.0,,238.0,244.0,,1.0,7.0,,19.0,25.0,,253.0,4.0,,16.0,22.0,,34.0,40.0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,170.0,,182.0,188.0,,200.0,206.0,,,185.0,,,203.0,,,221.0,,,200.0,,,218.0,,,236.0,,218.0,224.0,,236.0,242.0,,254.0,5.0,,233.0,239.0,,251.0,2.0,,14.0,20.0,,248.0,254.0,,11.0,17.0,,29.0,35.0,
6,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,,,129.0,,,147.0,,,126.0,,,,,,,,,141.0,,,,,,,,,165.0,,,183.0,189.0,,201.0,207.0,,180.0,186.0,,198.0,204.0,,216.0,222.0,,195.0,201.0,,213.0,219.0,,231.0,237.0,,,,,237.0,,,0.0,,,234.0,240.0,,252.0,3.0,,15.0,21.0,,249.0,0.0,,12.0,18.0,,30.0,36.0,
7,,,,,,,,,,,,,,,,,,,,,,76.0,,,94.0,,,73.0,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,127.0,,,145.0,,,163.0,,,142.0,,,160.0,,,178.0,,,,,,,,,,,,,187.0,,199.0,205.0,,217.0,223.0,,196.0,202.0,,214.0,220.0,,232.0,238.0,,,,,,,,,,,,241.0,,253.0,4.0,,16.0,22.0,,250.0,1.0,,13.0,19.0,,31.0,37.0,
