,RMC_Mean,RMC_SD,WT_Mean,WT_SD
Root.Length.Diameter.Range.1.mm,39549.7611376,9720.333574058426,17803.236116199998,3223.261801406851
Root.Length.Diameter.Range.2.mm,50975.217575400005,7185.641582195566,38012.88448560001,7770.666209777136
Root.Length.Diameter.Range.3.mm,12714.492741,1423.2013135010793,13203.2621762,2705.9678236728096
Root.Length.Diameter.Range.4.mm,2151.8919542,85.95319605187534,2808.7900090000003,399.4636927097142
Root.Length.Diameter.Range.5.mm,443.01741920000006,69.7444762526421,635.2558773999999,74.284955562983
Root.Length.Diameter.Range.6.mm,271.3130092,60.87480884140746,309.55265900000006,41.0774362635201
Root.Length.Diameter.Range.7.mm,65.8593824,16.28471939431309,55.29716619999999,3.835623947625302
Root.Length.Diameter.Range.8.mm,35.529877600000006,8.95856198898656,26.3393828,2.782230864854263
Root.Length.Diameter.Range.9.mm,25.4225934,7.741389623039478,21.9629492,6.567658934079496
Root.Length.Diameter.Range.10.mm,162.3534842,75.04964736769456,156.5995662,50.39175252697249
